Zona,Provincia/Pais,Localidad,Lectura_15_07_24_al_01_08_24,Lectura_01_08_24_al_17_08_24
Litoral,Entre Ríos,Don Cristóbal,,0
Litoral,Entre Ríos,De Isletas,,0
Litoral,Entre Ríos,Nogoya,,0
Litoral,Santa Fe,Helvecia,,0
Litoral,Santa Fe,Aldao,,0
Centro Norte,San Luis,La Toma,,0
Centro Norte,San Luis,Las Chilcas,,37
Centro Norte,Córdoba,San Francisco,0,0
Centro Norte,Córdoba,Freyre,0,0
Centro Norte,Córdoba,Morteros,0,0
Centro Norte,Córdoba,Montecristo,4,1
Centro Norte,Córdoba,Devoto,4,0
Centro Norte,Córdoba,Capilla de Sitón,5,9
Centro Norte,Córdoba,Cañada de Luque,11,2
Centro Norte,Córdoba,Arroyito,12,17
Centro Norte,Córdoba,Corralito,23,6
Centro Norte,Córdoba,Rayo Cortado,,23
Centro Norte,Córdoba,Carrilobo,,2
Centro Norte,Córdoba,Monte del Rosario,,74
Centro Norte,Córdoba,Calamuchita,,12
Centro Norte,Córdoba,Villa Sta. Rosa,,2
Centro Norte,Córdoba,Laguna Larga,,1
Centro Norte,Córdoba,Tancacha,,16
Centro Norte,Córdoba,Rio segundo,,1
Centro Norte,Córdoba,Villa María,,0
Centro Norte,Córdoba,Obispo trejo,,3
Centro Norte,Córdoba,Colonia Tirolesa,,1
Centro Norte,Córdoba,Piquillin,,0
Centro Norte,Córdoba,Colón,,0
Centro Norte,Córdoba,Sebastián Elcano,,144
Centro Norte,Córdoba,Sacanta,,0
Centro Norte,Córdoba,Las Astillas,,2
Centro Norte,Córdoba,El Tío,,4
Centro Norte,Córdoba,Sinsacate,,2
Centro Norte,Córdoba,Tala Norte,,2
Centro Norte,Córdoba,Santa Catalina,,6
Centro Norte,Santa Fe,Ataliva,0,0
Centro Norte,Santa Fe,Crispi,,0
Centro Norte,Santa Fe,Moisés Ville,0,1
Centro Norte,Santa Fe,Esperanza,0,2
Centro Norte,Santa Fe,San Jerónimo Norte,0,0
Centro Norte,Santa Fe,Rincón de Ávila,,0
Centro Norte,Santa Fe,San Martin de las Escobas,0,0
Centro Norte,Santa Fe,Vila,0,0
Centro Norte,Santa Fe,Bernardo de Irigoyen,0,0
Centro Norte,Santa Fe,El Trébol,,0
Centro Norte,Santa Fe,San Fabián,0,0
Centro Norte,Santa Fe,San Vicente,0,0
Centro Norte,Santa Fe,Gálvez,,0
Centro Norte,Santa Fe,Rafaela,,0
Centro Norte,Santa Fe,El Fortín,0,0
Centro Norte,Santa Fe,Mariajuanas Castellanos,,0
Centro Norte,Santa Fe,Emilia,0,0
Centro Norte,Santa Fe,Progreso,0,0
Centro Norte,Santa Fe,El Trébol,0,0
Centro Norte,Santa Fe,Gálvez,0,0
Centro Norte,Santa Fe,Landeta,1,0
Centro Norte,Santa Fe,La Camila,2,s/dato
Centro Norte,Santa Fe,Ceres,3,0
Centro Norte,Santa Fe,Villa Trinidad,6,0
Centro Norte,Santa Fe,Piamonte,0,0
Centro Norte,Santa Fe,Santa Clara de Saguier,0,0
Centro Norte,Santa Fe,Cañada Rosquín,2,0
Centro Norte,Santa Fe,Humboldt,,0
Centro Norte,Santa Fe,San Carlos Norte,,0
Centro Norte,Santa Fe,San Guillermo,,0
Centro Norte,Santa Fe,San Jorge,,0
Centro Norte,Santa Fe,Clucellas,,0
Centro Norte,Bs As,25demayo,,0
Centro Norte,Bs As,Berraondo,,0
Centro Sur,Córdoba,General Roca,,0
Centro Sur,Córdoba,Ana Zumaran,,0
Centro Sur,Córdoba,Ordoñez,,0
Centro Sur,Córdoba,La playosa,,0
Centro Sur,Córdoba,Villa Valeria,0,s/dato
Centro Sur,Córdoba,Guatimozin,0,0
Centro Sur,Córdoba,Jovita,0,0
Centro Sur,Córdoba,Coronel Moldes,7,5
Centro Sur,Córdoba,Benjamín Gould,,0
Centro Sur,Córdoba,Corral de Bustos,,0
Centro Sur,Córdoba,Buchardo,,0
Centro Sur,Córdoba,Adelia María,,1
Centro Sur,Córdoba,Idiazabal,,0
Centro Sur,Córdoba,Lecueder,,0
Centro Sur,Córdoba,General Levalle,0,2
Centro Sur,Córdoba,Villa valeria,,0
Centro Sur,Córdoba,Justiniano Posse,,0
Centro Sur,Córdoba,Monte Buey,,1
Centro Sur,Córdoba,Huinca Renanco,,2
Centro Sur,Córdoba,Cañada Seca,0,0
Centro Sur,Córdoba,Melo,1,1
Centro Sur,Córdoba,Vicuña Mackenna,1,3
Centro Sur,Córdoba,Reduccion,5,4
Centro Sur,Córdoba,Monte de los Gauchos,9,13
Centro Sur,Córdoba,Punta del Agua,15,1
Centro Sur,Córdoba,Cuatro Vientos,16,23
Centro Sur,Córdoba,Rio Seco,295,94
Centro Sur,Córdoba,La Carlota,2,1
Centro Sur,Santa Fe,Arroyo Cabral,,0
Centro Sur,Santa Fe,Germania,0,0
Centro Sur,Santa Fe,Wheelright,,0
Centro Sur,Santa Fe,Iriarte,0,0
Centro Sur,Santa Fe,Hughes,0,0
Centro Sur,Santa Fe,Villa Mugueta,0,0
Centro Sur,Santa Fe,Venado tuerto,,0
Centro Sur,Santa Fe,Teodelina,0,0
Centro Sur,Santa Fe,Villada,0,2
Centro Sur,Santa Fe,Timbúes,1,1
Centro Sur,Santa Fe,Godoy,2,0
Centro Sur,Santa Fe,San Jerónimo Sur,3,1
Centro Sur,Santa Fe,Álvarez,7,s/dato
Centro Sur,Santa Fe,Máximo Paz,,1
Centro Sur,Santa Fe,Bustinza,,0
Centro Sur,Santa Fe,Molina,,1
Centro Sur,Santa Fe,Chañar Ladeado,0,0
Centro Sur,Santa Fe,Monte de Oca,0,0
Centro Sur,Santa Fe,Zavalla,2,0
Centro Sur,Santa Fe,Villa Cañas,,0
Centro Sur,Santa Fe,Pueblo Uranga,5,4
Centro Sur,Santa Fe,Bombal,,0
Centro Sur,Santa Fe,Las Rosas,,0
Centro Sur,Santa Fe,Teodolina,,0
Centro Sur,San Luis,Los Molles,4,1
Centro Sur,San Luis,Juan Jorba,5,1
Centro Sur,San Luis,Naschel,,0
Centro Sur,San Luis,Buena Esperanza,,0
Centro Sur,Buenos Aires,Gral. Arenales T1,0,0
Centro Sur,Buenos Aires,Arrecifes,,0
Centro Sur,Buenos Aires,Gral. Dorrego,,0
Centro Sur,Buenos Aires,Tres Arroyos,0,0
Centro Sur,Buenos Aires,Pehuajó,0,0
Centro Sur,Buenos Aires,Colón,0,0
Centro Sur,Buenos Aires,Chacabuco,0,0
Centro Sur,Buenos Aires,Ferré,1,0
Centro Sur,Buenos Aires,Los Toldos,,0
Centro Sur,Buenos Aires,Morse Junín,,0
Centro Sur,Buenos Aires,Lujan,,0
Centro Sur,Buenos Aires,La Violeta,,0
Centro Sur,Buenos Aires,Pergamino,,0
Centro Sur,Buenos Aires,Roberts,,0
Centro Sur,Buenos Aires,Pasman,,0
Centro Sur,Buenos Aires,Cura Malal,,0
Centro Sur,Buenos Aires,Piñeyro,,0
Centro Sur,Buenos Aires,Vedia,,1
Centro Sur,Buenos Aires,Casbas,0,0
Centro Sur,Buenos Aires,Puan,0,0
Centro Sur,Buenos Aires,Las Numancias,0,0
Centro Sur,Buenos Aires,La Niña,0,0
Centro Sur,Buenos Aires,San Miguel de Arcángel,0,0
Centro Sur,Buenos Aires,El Divisorio,0,0
Centro Sur,Buenos Aires,12 de Octubre,0,0
Centro Sur,Buenos Aires,Trenque Lauquen,0,0
Centro Sur,Buenos Aires,Necochea,0,0
Centro Sur,Buenos Aires,Carmen de Areco,0,0
Centro Sur,Buenos Aires,Ferré,0,0
Centro Sur,Buenos Aires,Vedia,0,0
Centro Sur,Buenos Aires,Carhue,,0
Centro Sur,Buenos Aires,Chascomús,,7
Centro Sur,Buenos Aires,Chillar,,0
Centro Sur,Buenos Aires,Junín,0,0
Centro Sur,Buenos Aires,Ayacucho,,0
Centro Sur,Buenos Aires,Maipú,,0
Centro Sur,Buenos Aires,San Andrés de Giles,,0
Centro Sur,Buenos Aires,San Martin,,0
Centro Sur,Buenos Aires,Pergamino,,0
Centro Sur,Buenos Aires,San Pedro,,1
Centro Sur,Buenos Aires,Ballester,,0
Centro Sur,Buenos Aires,Gral. Madariaga,,0
Centro Sur,Buenos Aires,Tandil,0,0
Centro Sur,Buenos Aires,Necochea,0,0
Centro Sur,Buenos Aires,Daireaux,0,0
Centro Sur,Buenos Aires,Carlos Tejedor,0,0
Centro Sur,Buenos Aires,Orense,0,0
Centro Sur,Buenos Aires,Arenaza,0,0
Centro Sur,Buenos Aires,Moctezuma,0,0
Centro Sur,Buenos Aires,Guanaco,0,0
Centro Sur,Buenos Aires,Henderson,0,0
Centro Sur,Buenos Aires,Treinta de Agosto,0,0
Centro Sur,Buenos Aires,Mari Lauque,0,0
Centro Sur,Buenos Aires,General Villegas,0,0
Centro Sur,Buenos Aires,América,0,0
Centro Sur,Buenos Aires,Casey,,0
Centro Sur,Buenos Aires,General Arenales,,0
Centro Sur,Buenos Aires,Bragado,,0
Centro Sur,La Pampa,Quemu Quemu,0,0
Centro Sur,La Pampa,Catriló,0,0
Centro Sur,La Pampa,Quemú Quemú,0,0
Centro Sur,La Pampa,Gral. Paz,,0
Centro Sur,La Pampa,Santa Rosa,,0
Centro Sur,La Pampa,General Pico,0,0
Centro Sur,La Pampa,Santa Rosa,,0
Uruguay,Uruguay,Chamizo,,3
Uruguay,Uruguay,Colonia,,6
Uruguay,Uruguay,Constancia,,0
Uruguay,Uruguay,Durazno,,0
Uruguay,Uruguay,Mercedes,,0
Uruguay,Uruguay,Palmitas,,0
Uruguay,Uruguay,Young,,0
Uruguay,Uruguay,Young,,1
Uruguay,Uruguay,Rosario,,6
